LXX-GK
Septuagint, Greek text (Swete 1887-1930, public domain; digitized word-database by Eliran Wong, github.com/eliranwong/LXX-Swete-1930, GPL-3.0 compilation). Versification follows the LXX (Psalms run one behind the Hebrew), matching bibles/lxx.txt (Brenton).
Genesis 1:1	ΕΝ ΑΡΧΗ ἐποίησεν ὁ θεὸς τὸν οὐρανὸν καὶ τὴν γῆν.
Sirach 10:21	
Sirach 10:22	πλούσιος καὶ ἔνδοξος καὶ πτωχός, τὸ καύχημα αὐτῶν φόβος Κυρίου.
Sirach 10:23	οὐ δίκαιον ἀτιμάσαι πτωχὸν συνετόν, καὶ οὐ καθῆκεν δοξάσαι ἄνδρα ἁμαρτωλόν.
Sirach 10:24	μεγιστὰν καὶ κριτὴς καὶ δυνάστης δοξασθήσεται, καὶ οὐκ ἔστιν αὐτῶν τις μείζων τοῦ φοβουμένου τὸν κύριον.
Sirach 10:25	οἰκέτῃ σοφῷ ἐλεύθεροι λειτουργήσουσιν, καὶ ἀνὴρ ἐπιστήμων οὐ γογγύσει.
Sirach 10:26	Μὴ σοφίζου ποιῆσαι τὸ ἔργον σου, καὶ μὴ δοξάζου ἐν καιρῷ στενοχωρίας σου.
Sirach 10:27	κρείσσων ἐργαζόμενος ἐν πᾶσιν ἢ περιπατῶν, ἢ δοξαζόμενος καὶ ἀπορῶν ἄρτων.
Sirach 10:28	τέκνον, ἐν πρᾳύτητι δόξασον τὴν ψυχήν σου, καὶ δὸς αὐτῇ τιμήν κατὰ τὴν ἀξίαν αὐτῆς.
Sirach 10:29	τὸν ἁμαρτάνοντα εἰς τὴν ψυχὴν αὐτοῦ τίς δικαιώσει; καὶ τίς δοξάσει τὸν ἀτιμάζοντα τὴν ζωὴν αὐτοῦ;
Sirach 10:30	πτωχὸς δοξάζεται δι᾽ ἐπιστήμην αὐτοῦ, καὶ πλούσιος δοξάζεται διὰ τὸν πλοῦτον αὐτοῦ.
Sirach 10:31	ὁ δὲ δοξαζόμενος ἐν πτωχείᾳ, καὶ ἐν πλούτῳ ποσαχῶς; καὶ ὁ ἄδοξος ἐν πλούτῳ, ἐν πτωχείᾳ ποσαχῶς;
Sirach 11:1	σοφία ταπεινοῦ ἀνύψωσεν κεφαλήν, καὶ ἐν μέσῳ μεγιστάνων καθίσει αὐτόν.
Sirach 11:2	μὴ αἰνέσῃς ἄνδρα ἐν κάλλει αὐτοῦ, καὶ μὴ βδέλυξῃ ἄνθρωπον ἐν ὁράσει αὐτοῦ.
Sirach 11:3	μικρὰ ἐν πετεινοῖς μέλισσα, καὶ ἀρχὴ γλυκασμάτων ὁ καρπὸς αὐτῆς.
Sirach 11:4	ἐν περιβολῇ ἱματίων μὴ καυχήσῃ, καὶ ἐν ἡμέρᾳ δόξης μὴ ἐπαίρου· ὅτι θαυμαστὰ τὰ ἔργα Κυρίου, καὶ κρυπτὰ τὰ ἔργα αὐτοῦ ἐν ἀνθρώποις.
Sirach 11:5	πολλοὶ τύραννοι ἐκάθισαν ἐπὶ ἐδάφους, ὁ δὲ ἀνυπονόητος ἐφόρεσεν διάδημα·
Sirach 11:6	πολλοὶ δυνάσται ἠτιμάσθησαν σφόδρα, καὶ ἔνδοξοι παρεδόθησαν εἰς χεῖρας ἑταίρων.
Sirach 11:7	πρὶν ἐξετάσῃς μὴ μέμψῃ, νόησον πρῶτον καὶ τότε ἐπιτίμα.
Sirach 11:8	πρὶν ἢ ἀκοῦσαι μὴ ἀποκρίνου, καὶ ἐν μέσῳ λόγων μὴ παρεμβάλλου.
Sirach 11:9	περὶ πράγματος οὗ οὐκ ἔστιν σοι χρεία μὴ ἔριζε, καὶ ἐν κρίσει ἁμαρτωλῶν μὴ συνέδρευε.
Sirach 11:10	τέκνον, μὴ περὶ πολλὰ ἔστωσαν αἱ πράξεις σου· ἐὰν πληθύνῃς, οὐκ ἀθῳωθήσῃ· καὶ ἐὰν διώκῃς, οὐ μὴ καταλάβῃς, καὶ οὐ μὴ ἐκφύγῃς διαδράς.
Sirach 11:11	ἔστιν κοπιῶν καὶ πονῶν καὶ σπεύδων, καὶ τόσῳ μᾶλλον ὑστερεῖται.
Sirach 11:12	ἔστιν νωθρὸς καὶ προσδεόμενος ἀντιλήμψεως, ὑστερῶν ἰσχύι καὶ πτωχείᾳ περισσεύει· καὶ οἱ ὀφθαλμοὶ Κυρίου ἐπέβλεψαν αὐτῷ εἰς ἀγαθά, καὶ ἀνώρθωσεν αὐτὸν ἐκ ταπεινώσεως αὐτοῦ,
Sirach 11:13	καὶ ἀνύψωσεν κεφαλὴν αὐτοῦ, καὶ ἀπεθαύμασαν ἐπ᾽ αὐτῷ πολλοί.
Sirach 11:14	ἀγαθὰ καὶ κακά, ζωὴ καὶ θάνατος, πτωχεία καὶ πλοῦτος παρὰ Κυρίου ἐστίν.
Sirach 11:15	
Sirach 11:16	
Sirach 11:17	Δόσις Κυρίου παραμένει εὐσεβέσιν, ⸆ καὶ ἡ εὐδοκία αὐτοῦ εἰς τὸν αἰῶνα εὐοδωθήσεται.
Sirach 11:18	ἔστιν πλουτῶν ἀπὸ προσοχῆς καὶ σφιγγίας αὐτοῦ, καὶ αὕτη ἡ μερὶς τοῦ μισθοῦ αὐτοῦ·
Sirach 11:19	ἐν τῷ εἰπεῖν αὐτόν Εὗρον ἀνάπαυσιν, καὶ νῦν φάγομαι ἐκ τῶν ἀγαθῶν μου, καὶ οὐκ οἶδεν τίς καιρὸς παρελεύσεται, καὶ καταλείψει αὐτὰ ἑτέροις καὶ ἀποθανεῖται.
Sirach 11:20	στῆθι ἐν διαθήκῃ σου καὶ ὁμίλει ἐν αὐτῇ, καὶ ἐν τῷ ἔργῳ σου παλαιώθητι.
Sirach 11:21	μὴ θαύμαζε ἐν ἔργοις ἁμαρτωλοῦ· πίστευε τῷ κυρίῳ καὶ ἔμμενε τῷ πόνῳ σου· ὅτι κοῦφον ἐν ὀφθαλμοῖς Κυρίου διὰ τάχους ἐξάπινα πλουτίσαι πένητα.
Sirach 11:22	εὐλογία Κυρίου ἐν μισθῷ εὐσεβοῦς, καὶ ἐν ὥρᾳ ταχινῇ ἀναθάλλει εὐλογίαν αὐτοῦ.
Sirach 11:23	μὴ εἴπῃς Τίς ἐστίν μου χρεία, καὶ τίνα ἀπὸ τοῦ νῦν ἔσται μου τὰ ἀγαθά;
Sirach 11:24	μὴ εἴπῃς Αὐτάρκη μοί ἐστιν, καὶ τί ἀπὸ τοῦ νῦν κακωθήσομαι;
Sirach 11:25	ἐν ἡμέρᾳ ἀγαθῶν ἀμνησία κακῶν, καὶ ἐν ἡμέρᾳ κακῶν οὐ μνησθήσεται ἀγαθῶν·
Sirach 11:26	ὅτι κοῦφον ἔναντι Κυρίου ἐν ἡμέρᾳ τελευτῆς ἀποδοῦναι ἀνθρώπῳ κατὰ τὰς ὁδοὺς αὐτοῦ.
Sirach 11:27	κάκωσις ὥρας ἐπιλησμονὴν ποιεῖ τρυφῆς, καὶ ἐν συντελείᾳ ἀνθρώπου ἀποκάλυψις ἔργων αὐτοῦ.
Sirach 11:28	πρὸ τελευτῆς μὴ μακάριζε μηδένα, καὶ ἐν τέκνοις αὐτοῦ γνωσθήσεται ἀνήρ.
Sirach 11:29	Μὴ πάντα ἄνθρωπον εἴσαγε εἰς τὸν οἶκόν σου· πολλὰ γὰρ τὰ ἔνεδρα τοῦ δολίου.
Sirach 11:30	πέρδιξ θηρευτὴς ἐν καρτάλλῳ· οὕτως καρδία ὑπερηφάνου, καὶ ὡς ὁ κατάσκοπος ἐπιβλέπει πτῶσιν.
Sirach 11:31	τὰ γὰρ ἀγαθὰ εἰς κακὰ μεταστρέφων ἐνεδρεύει, καὶ ἐν τοῖς αἱρετοῖς ἐπιθήσει μῶμον.
Sirach 11:32	ἀπὸ σπινθῆρος πυρὸς πληθυνθήσεται ἀνθρακιά, καὶ ἄνθρωπος ἁμαρτωλὸς εἰς αἷμα ἐνεδρεύει.
Sirach 11:33	πρόσεχε ἀπὸ κακούργου, πονηρὰ γὰρ τεκταίνει, μή ποτε μῶμον εἰς τὸν αἰῶνα δῷ σοι.
Sirach 11:34	ἐνοίκισον ἀλλότριον, καὶ διαστρέψει σε ἐν ταραχαῖς καὶ ἀπαλλοτριώσει σε τῶν ἰδίων σου.
Sirach 12:1	ἐὰν εὖ ποιῇς, γνῶθι τίνι ποιεῖς, καὶ ἔσται χάρις τοῖς ἀγαθοῖς σου.
Sirach 12:2	εὖ ποίησον εὐσεβεῖ, καὶ εὑρήσεις ἀνταπόδομα, καὶ εἰ μὴ παρὰ αὐτοῦ, ἀλλὰ παρὰ Ὑψίστου.
Sirach 12:3	οὐκ ἔστιν ἀγαθὰ τῷ ἐνδελεχίζοντι εἰς κακὰ καὶ τῷ ἐλεημοσύνην μὴ χαριζομένῳ.
Sirach 12:4	δὸς τῷ εὐσεβεῖ, καὶ μὴ ἀντιλάβῃ τοῦ ἁμαρτωλοῦ.
Sirach 12:5	εὖ ποίησον τῷ ταπεινῷ καὶ μὴ δῷς ἀσεβεῖ· ἐμπόδισον τοὺς ἄρτους αὐτοῦ καὶ μὴ δῷς αὐτῷ, ἵνα μὴ ἐν αὐτοῖς σε δυναστεύσῃ· διπλάσια γὰρ κακὰ εὑρήσεις ἐν πᾶσιν ἀγαθοῖς οἷς ἂν ποιήσῃς αὐτῷ.
Sirach 12:6	ὅτι καὶ ὁ ὕψιστος ἐμίσησεν ἁμαρτωλούς, καὶ τοῖς ἀσεβέσιν ἀποδώσει ἐκδίκησιν.
Sirach 12:7	δὸς τῷ ἀγαθῷ, καὶ μὴ ἀντιλάβῃ τοῦ ἁμαρτωλοῦ.
Sirach 12:8	Οὐκ ἐκδικηθήσεται ἐν ἀγαθοῖς ὁ φίλος, καὶ οὐ κρυβήσεται ἐν κακοῖς ὁ ἐχθρός.
Sirach 12:9	ἐν ἀγαθοῖς ἀνδρὸς οἱ ἐχθροὶ αὐτοῦ ἐν λύπῃ, καὶ ἐν τοῖς κακοῖς αὐτοῦ καὶ ὁ φίλος διαχωρισθήσεται.
Sirach 12:10	μὴ πιστεύσῃς τῷ ἐχθρῷ σου εἰς τὸν αἰῶνα· ὡς γὰρ ὁ χαλκὸς ἰοῦται, οὕτως ἡ πονηρία αὐτοῦ·
Sirach 12:11	καὶ ἐὰν ταπεινωθῇ καὶ πορεύηται συνκεκυφώς, ἐπίστησον τὴν ψυχήν σου καὶ φύλαξαι ἀπ᾽ αὐτοῦ, καὶ ἔσῃ αὐτῷ ὡς ἐκμεμαχὼς ἔσοπτρον, καὶ γνώσῃ ὅτι οὐκ εἰς τέλος κατίωσεν.
Sirach 12:12	μὴ στήσῃς αὐτὸν παρὰ σεαυτόν, μὴ ἀνατρέψας σε στῇ ἐπὶ τὸν τόπον σου· μὴ καθίσῃς αὐτὸν ἐκ δεξιῶν σου, μή ποτε ζητήσῃ τὴν καθέδραν σου, καὶ ἐπ᾽ ἐσχάτῳ ἐπιγνώσῃ τοὺς λόγους μου, καὶ ἐπὶ τῶν ῥημάτων μου κατανυγήσῃ.
Sirach 12:13	τίς ἐλεήσει ἐπαοιδὸν ὀφιόδηκτον καὶ πάντας τοὺς προσάγοντας θηρίοις;
Sirach 12:14	οὕτως τὸν προσπορευόμενον ἀνδρὶ ἁμαρτωλῷ καὶ συνφυρόμενον ἐν ταῖς ἁμαρτίαις αὐτοῦ.
Sirach 12:15	ὥραν μετὰ σοῦ διαμενεῖ, καὶ ἐὰν ἐκκλίνῃς, οὐ μὴ καρτερήσῃ.
Sirach 12:16	καὶ ἐν τοῖς χείλεσιν αὐτοῦ γλυκανεῖ ὁ ἐχθρός, καὶ ἐν τῇ καρδίᾳ αὐτοῦ βουλεύσεται ἀνατρέψαι σε εἰς βόθρον· ἐν ὀφθαλμοῖς αὐτοῦ δακρύσει ὁ ἐχθρός, ⸂⸆⸃ καὶ ἐὰν εὕρῃ καιρόν, οὐκ ἐμπλησθήσεται ἀφ᾽ αἵματος·
Sirach 12:17	κακὰ ἂν ὑπαντήσῃ σοι, εὑρήσεις αὐτὸν πρότερον ἐκεῖ σου, καὶ ὡς βοηθῶν ὑποσχάσει πτέρναν σου·
Sirach 12:18	κινήσει τὴν κεφαλὴν αὐτοῦ καὶ ἐπικροτήσει ταῖς χερσὶν αὐτοῦ, καὶ πολλὰ διαψιθυρίσει καὶ ἀλλοιώσει τὸ πρόσωπον αὐτοῦ.
Sirach 13:1	Ὁ ἁπτόμενος πίσσης μολυνθήσεται, καὶ ὁ κοινωνῶν ὑπερηφάνῳ ὁμοιωθήσεται αὐτῷ.
Sirach 13:2	βάρος ὑπὲρ σὲ μὴ ἄρῃς, καὶ ἰσχυροτέρῳ σου καὶ πλουσιωτέρῳ μὴ κοινώνει. τί κοινωνήσει χύτρα πρὸς λέβητα; αὕτη προσκρούσει, καὶ αὕτη συντριβήσεται.
Sirach 13:3	πλούσιος ἠδίκησεν, καὶ αὐτὸς προσενεβριμήσατο· πτωχὸς ἠδίκηται, καὶ αὐτὸς προσδεηθήσεται.
Sirach 13:4	ἐὰν χρησιμεύσῃς, ἐργᾶται ἐν σοί· καὶ ἐὰν ὑστερήσῃς, καταλείψει σε·
Sirach 13:5	ἐὰν ἔχῃς, συμβιώσεταί σοι καὶ ἀποκενώσει σε, καὶ αὐτὸς οὐ πονέσει·
Sirach 13:6	χρείαν ἔσχηκέν σου, καὶ ἀποπλανήσει σε, καὶ προσγελάσεταί σοι καὶ δώσει σοι ἐλπίδα· λαλήσει σοι καλὰ καὶ ἐρεῖ Τίς ἡ χρεία σου;
Sirach 13:7	καὶ αἰσχυνεῖ σε ἐν τοῖς βρώμασιν αὐτοῦ, ἕως οὗ ἀποκενώσῃ σε δὶς ἢ τρίς, καὶ ἐπ᾽ ἐσχάτῳ καταμωκήσεταί σου· μετὰ ταῦτα ὄψεταί σε καὶ καταλείψει σε, καὶ τὴν κεφαλήν αὐτοῦ κινήσει ἐπὶ σοί.
Sirach 13:8	πρόσεχε μὴ ἀποπλανηθῇς, καὶ μὴ ταπεινωθῇς ἐν εὐφροσύνῃ σου.
Sirach 13:9	προσκαλεσαμένου σε δυνάστου ὑποχωρῶν γίνου, καὶ τόσῳ μᾶλλον προσκαλέσεταί σε·
Sirach 13:10	μὴ ἔμπιπτε, ἵνα μὴ ἀπωσθῇς, καὶ μὴ μακρὰν ἀφίστω, ἵνα μὴ ἐπιλησθῇς.
Sirach 13:11	μὴ ἔπεχε ἰσηγορεῖσθαι μετ᾽ αὐτοῦ, καὶ μὴ πίστευε τοῖς πλείοσιν λόγοις αὐτοῦ· ἐκ πολλῆς γὰρ λαλιᾶς πειράσει σε, καὶ ὡς προσγελῶν ἐξετάσει σε·
Sirach 13:12	ἀνελεήμων ὁ μὴ συντηρῶν λόγους, καὶ οὐ μὴ φείσηται περὶ κακώσεως καὶ δεσμῶν.
Sirach 13:13	συντήρησον καὶ πρόσεχε σφοδρῶς, ὅτι μετὰ τῆς πτώσεώς σου περιπατεῖς.
Sirach 13:14	
Sirach 13:15	πᾶν ζῷον ἀγαπᾷ τὸ ὅμοιον αὐτῷ, καὶ πᾶς ἄνθρωπος τὸν πλησίον αὐτοῦ·
Sirach 13:16	πᾶσα σὰρξ κατὰ γένος συνάγεται, καὶ τῷ ὁμοίῳ αὐτοῦ προσκολληθήσεται ἀνήρ.
Sirach 13:17	τί κοινωνήσει λύκος ἀμνῷ; οὕτως ἁμαρτωλὸς πρὸς εὐσεβῆ.
Sirach 13:18	τίς εἰρήνη ὑαίνῃ πρὸς κύνα; καὶ τίς εἰρήνη πλουσίῳ πρὸς πένητα;
Sirach 13:19	κυνήγια λεόντων ὄναγροι ἐν ἐρήμῳ· οὕτως νομαὶ πλουσίων πτωχοί.
Sirach 13:20	βδέλυγμα ὑπερηφάνῳ ταπεινότης, οὕτως βδέλυγμα πλουσίῳ πτωχός.
Sirach 13:21	πλούσιος σαλευόμενος στηρίζεται ὑπὸ φίλων, ταπεινὸς δὲ πεσὼν προσαπωθεῖται ὑπὸ φίλων.
Sirach 13:22	πλουσίου σφαλέντος πολλοὶ ἀντιλήμπτορες, ἐλάλησεν ἀπόρρητα καὶ ἐδικαίωσαν αὐτόν· ταπεινὸς ἔσφαλεν καὶ προσεπετίμησαν αὐτῷ, ἐφθέγξατο σύνεσιν καὶ οὐκ ἐδόθη αὐτῷ τόπος.
Sirach 13:23	πλούσιος ἐλάλησεν καὶ πάντες ἐσίγησαν, καὶ τὸν λόγον αὐτοῦ ἀνύψωσαν ἕως τῶν νεφελῶν· πτωχὸς ἐλάλησεν καὶ εἶπαν Τίς οὗτος; κἂν προσκόψῃ, προσανατρέψουσιν αὐτόν.
Sirach 13:24	ἀγαθὸς ὁ πλοῦτος ᾧ μή ἐστιν ἁμαρτία, καὶ πονηρὰ ἡ πτωχεία ἐν στόμασιν εὐσεβοῦς.
Sirach 13:25	καρδία ἀνθρώπου ἀλλοιοῖ τὸ πρόσωπον αὐτοῦ, ἐὰν εἰς ἀγαθὰ ἐάν τε εἰς κακά.
Sirach 13:26	ἴχνος καρδίας ἐν ἀγαθοῖς πρόσωπον ἱλαρόν, καὶ εὕρεσις παραβολῶν διαλογισμοὶ μετὰ κόπου.
Sirach 14:1	Μακάριος ἀνὴρ ὃς οὐκ ὠλίσθησεν ἐν στόματι αὐτοῦ, καὶ οὐ κατενύγη ἐν λύπῃ ἁμαρτίας·
Sirach 14:2	μακάριος οὗ οὐ κατέγνω ἡ ψυχὴ αὐτοῦ, καὶ ὃς οὐκ ἔπεσεν ἀπὸ τῆς ἐλπίδος αὐτοῦ.
Sirach 14:3	ἀνδρὶ μικρολόγῳ οὐ καλὸς ὁ πλοῦτος, καὶ ἀνθρώπῳ βασκάνῳ ἵνα τί χρήματα;
Sirach 14:4	ὁ συνάγων ἀπὸ τῆς ψυχῆς αὐτοῦ συνάγει ἄλλοις, καὶ ἐν τοῖς ἀγαθοῖς αὐτοῦ τρυφήσουσιν ἕτεροι.
Sirach 14:5	ὁ πονηρὸς ἑαυτῷ τίνι ἀγαθὸς ἔσται; καὶ οὐ μὴ εὐφρανθήσεται ἐν τοῖς χρήμασιν αὐτοῦ.
Sirach 14:6	τοῦ βασκαίνοντος ἑαυτὸν οὐκ ἔστιν πονηρότερος, καὶ τοῦτο ἀνταπόδομα τῆς κακίας αὐτοῦ·
Sirach 14:7	κἂν εὖ ποιῇ, ἐν λήθῃ ποιεῖ, καὶ ἐπ᾽ ἐσχάτων ἐκφαίνει τὴν κακίαν αὐτοῦ.
Sirach 14:8	πονηρὸς ὁ βασκαίνων ὀφθαλμῷ, ἀποστρέφων πρόσωπον καὶ ὑπερορῶν ψυχάς.
Sirach 14:9	πλεονέκτου ὀφθαλμὸς οὐκ ἐμπίπλαται μερίδι, καὶ ἀδικία πονηρὰ ἀναξηρανεῖ ψυχήν.
Sirach 14:10	ὀφθαλμὸς πονηρὸς φθονερὸς ἐπ᾽ ἄρτῳ, καὶ ἐνλιπὴς ἐπὶ τῆς τραπέζης αὐτοῦ.
Sirach 14:11	Τέκνον, καθὼς ἐὰν ἔχῃς εὖ ποίει σεαυτόν, καὶ προσφορὰς Κυρίῳ ἀξίως πρόσαγε·
Sirach 14:12	μνήσθητι ὅτι θάνατος οὐ χρονιεῖ, καὶ διαθήκη ᾅδου οὐχ ὑπεδείχθη σοι·
Sirach 14:13	πρίν σε τελευτῆσαι εὖ ποίει φίλῳ, καὶ κατὰ τὴν ἰσχύν σου ἔκτεινον καὶ δὸς αὐτῷ.
Sirach 14:14	μὴ ἀφυστερήσῃς ἀπὸ ἀγαθῆς ἡμέρας, καὶ μερὶς ἐπιθυμίας ἀγαθῆς μή σε παρελθάτω.
Sirach 14:15	οὐχὶ ἑτέρῳ καταλείψεις τοὺς πόνους σου, καὶ τοὺς κόπους σου εἰς διαίρεσιν κλήρου;
Sirach 14:16	δὸς καὶ λάβε, καὶ ἀπάτησον τὴν ψυχήν σου, ὅτι οὐκ ἔστιν ἐν ᾅδου ζητῆσαι τρυφήν.
Sirach 14:17	πᾶσα σὰρξ ὡς ἱμάτιον παλαιοῦται· ἡ γὰρ διαθήκη ἀπ᾽ αἰῶνος Θανάτῳ ἀποθανῇ.
Sirach 14:18	ὡς φύλλον θάλλον ἐπὶ δένδρου δασέος, τὰ μὲν καταβάλλει, ἄλλα δὲ φύει· οὕτως γενεὰ σαρκὸς καὶ αἵματος, ἡ μὲν τελευτᾷ, ἑτέρα δὲ γεννᾶται.
Sirach 14:19	πᾶν ἔργον σηπόμενον ἐκλείπει, καὶ ὁ ἐργαζόμενος αὐτὸ μετ᾽ αὐτοῦ ἀπελεύσεται.
Sirach 14:20	Μακάριος ἀνὴρ ὃς ἐν σοφίᾳ τελευτήσει, καὶ ὃς ἐν συνέσει αὐτοῦ διαλεχθήσεται·
Sirach 14:21	ὁ διανοούμενος τὰς ὁδοὺς αὐτῆς ἐν καρδίᾳ αὐτοῦ, καὶ ἐν τοῖς ἀποκρύφοις αὐτῆς νοηθήσεται.
Sirach 14:22	ἔξελθε ὀπίσω αὐτῆς ὡς ἰχνευτής, καὶ ἐν ταῖς εἰσόδοις αὐτῆς ἐνέδρευε.
Sirach 14:23	ὁ παρακύπτων διὰ τῶν θυρίδων αὐτῆς, καὶ ἐπὶ τῶν θυρωμάτων αὐτῆς ἀκροάσεται·
Sirach 14:24	ὁ καταλύων σύνεγγυς τοῦ οἴκου αὐτῆς, καὶ πήξει πάσσαλον ἐν τοῖς τοίχοις αὐτῆς·
Sirach 14:25	στήσει τὴν σκηνὴν αὐτοῦ κατὰ χεῖρας αὐτῆς, καὶ καταλύσει ἐν καταλύματι ἀγαθῶν·
Sirach 14:26	θήσει τὰ τέκνα αὐτοῦ ἐν τῇ σκέπῃ αὐτῆς, καὶ ὑπὸ τοὺς κλάδους αὐτῆς αὐλισθήσεται·
Sirach 14:27	σκεπασθήσεται ὑπ᾽ αὐτῆς ἀπὸ καύματος, καὶ ἐν τῇ δόξῃ αὐτῆς καταλύσει.
Sirach 15:1	ὁ φοβούμενος Κύριον ποιήσει αὐτό, καὶ ὁ ἐγκρατὴς τοῦ νόμου καταλήμψεται αὐτήν·
Sirach 15:2	καὶ ὑπαντήσεται αὐτῷ ὡς μήτηρ, καὶ ὡς γυνὴ παρθενείας προσδέξεται αὐτόν·
Sirach 15:3	ψωμιεῖ αὐτὸν ἄρτον συνέσεως, καὶ ὕδωρ σοφίας ποτίσει αὐτόν·
Sirach 15:4	στηριχθήσεται ἐπ᾽ αὐτὴν καὶ οὐ μὴ κλιθῇ, καὶ ἐπ᾽ αὐτῆς ἐφέξει καὶ οὐ μὴ καταισχυνθῇ·
Sirach 15:5	καὶ ὑψώσει αὐτὸν παρὰ τοὺς πλησίον αὐτοῦ, καὶ ἐν μέσῳ ἐκκλησίας ἀνοίξει στόμα αὐτοῦ·
Sirach 15:6	εὐφροσύνην καὶ στέφανον ἀγαλλιάματος καὶ ὄνομα αἰώνιον κατακληρονομήσει.
Sirach 15:7	οὐ μὴ καταλήμψονται αὐτὴν ἄνθρωποι ἀσύνετοι, καὶ ἄνδρες ἁμαρτωλοὶ οὐ μὴ ἴδωσιν αὐτήν·
Sirach 15:8	μακράν ἐστιν ὑπερηφανίας, καὶ ἄνδρες ψεῦσται οὐ μὴ μνησθήσονται αὐτῆς.
Sirach 15:9	Οὐχ ὡραῖος αἶνος ἐν στόματι ἁμαρτωλοῦ, ὅτι οὐ παρὰ Κυρίου ἀπεστάλη·
Sirach 15:10	ἐν γὰρ σοφίᾳ ῥηθήσεται αἶνος, καὶ ὁ κύριος εὐοδώσει αὐτόν.
Sirach 15:11	μὴ εἴπῃς ὅτι Διὰ Κύριον ἀπέστην· ἃ γὰρ ἐμίσησεν, οὐ ποιήσεις.
Sirach 15:12	μὴ εἴπῃς ὅτι Αὐτός με ἐπλάνησεν· οὐ γὰρ χρείαν ἔχει ἀνδρὸς ἁμαρτωλοῦ.
Sirach 15:13	πᾶν βδέλυγμα ἐμίσησεν Κύριος, καὶ οὐκ ἔστιν ἀγαπητὸν τοῖς φοβουμένοις αὐτόν.
Sirach 15:14	αὐτὸς ἐξ ἀρχῆς ἐποίησεν ἄνθρωπον, καὶ ἀφῆκεν αὐτὸν ἐν χειρὶ διαβουλίου αὐτοῦ.
Sirach 15:15	ἐὰν θέλῃς, συντηρήσεις ἐντολάς, καὶ πίστιν ποίησαι εὐδοκίας.
Sirach 15:16	παρέθηκέν σοι πῦρ καὶ ὕδωρ, οὗ ἐὰν θέλῃς ἐκτενεῖς τὴν χεῖρά σου·
Sirach 15:17	ἔναντι ἀνθρώπων ἡ ζωὴ καὶ ὁ θάνατος, καὶ ὃ ἐὰν εὐδοκήσῃ δοθήσεται αὐτῷ.
Sirach 15:18	ὅτι πολλὴ σοφία τοῦ κυρίου· ἰσχυρὸς ἐν δυναστείᾳ καὶ βλέπων τὰ πάντα·
Sirach 15:19	καὶ οἱ ὀφθαλμοὶ αὐτοῦ ἐπὶ τοὺς φοβουμένους αὐτόν, καὶ αὐτὸς ἐπιγνώσεται πᾶν ἔργον ἀνθρώπου·
Sirach 15:20	καὶ οὐκ ἐνετείλατο οὐδενὶ ἀσεβεῖν, καὶ οὐκ ἔδωκεν ἄνεσιν οὐδενὶ ἁμαρτάνειν.
Sirach 16:1	Μὴ ἐπιθύμει τέκνων πλῆθος ἀχρήστων, ⸆ μηδὲ εὐφραίνου ἐπὶ υἱοῖς ἀσεβέσιν·
Sirach 16:2	ἐὰν πληθύνωσιν, μὴ εὐφραίνου ἐπ᾽ αὐτοῖς· εἰ μή ἐστιν φόβος Κυρίου μετ᾽ αὐτῶν,
Sirach 16:3	μὴ ἐνπιστεύσῃς τῇ ζωῇ αὐτῶν, καὶ μὴ ἔπεχε ἐπὶ τὸν τόπον αὐτῶν· κρείσσων γὰρ εἷς ἢ χίλιοι, καὶ ἀποθανεῖν ἄτεκνον ἢ ἔχειν τέκνα ἀσεβῆ·
Sirach 16:4	ἀπὸ γὰρ ἑνὸς συνετοῦ συνοικισθήσεται πόλις, φυλὴ δὲ ἀνόμων ἐρημωθήσεται.
Sirach 16:5	πολλὰ τοιαῦτα ἑόρακα ἐν ὀφθαλμοῖς μου, καὶ ἰσχυρότερα τούτων ἀκήκοεν τὸ οὖς μου.
Sirach 16:6	ἐν συναγωγῇ ἁμαρτωλῶν ἐκκαυθήσεται πῦρ, καὶ ἐν ἔθνει ἀπειθεῖ ἐξεκαύθη ὀργή.
Sirach 16:7	οὐκ ἐξιλάσατο περὶ τῶν ἀρχαίων γιγάντων, οἳ ἀπέστησαν τῇ ἰσχύι αὐτῶν·
Sirach 16:8	οὐκ ἐφείσατο περὶ τῆς παροικίας Λώτ, οὓς ἐβδελύξατο διὰ τὴν ὑπερηφανίαν αὐτῶν·
Sirach 16:9	οὐκ ἠλέησεν ἔθνος ἀπωλείας, τοὺς ἐξηρμένους ἐν ἁμαρτίαις αὐτῶν·
Sirach 16:10	καὶ οὕτως ἑξακοσίας χιλιάδας πεζῶν τοὺς ἐπισυναχθέντας ἐν σκληροκαρδίᾳ αὐτῶν.
Sirach 16:11	κἂν ᾖ εἷς σκληροτράχηλος, θαυμαστὸν τοῦτο εἰ ἀθῳωθήσεται· ἔλεος γὰρ καὶ ὀργὴ παρ᾽ αὐτοῦ, δυνάστης ἐξιλασμῶν καὶ ἐκχέων ὀργήν.
Sirach 16:12	κατὰ τὸ πολὺ ἔλεος αὐτοῦ, οὕτως καὶ πολὺς ὁ ἔλεγχος αὐτοῦ· ἄνδρα κατὰ τὰ ἔργα αὐτοῦ κρινεῖ.
